filename,2022,2023,2024,2025
VA.PA201,31961,680,824,56
VA.PA202A,76707,539,939,248
VA.PA202,820,642,414,56
VA.PA203,902,429,569,241
VA.PA204,3688,2441,7410,1961
VA.PA205A,17472,10618,2888,172
VA.PA205,820,642,8565,224
VA.PA206A,690,11,103,56
VA.PA206,2204,5,101192,78519
VA.PA207A,441,116,781,56
VA.PA207,795,6876,88,90
VA.PA208,2300,49,52,2931
VA.PA209,729,171,210,56
VA.PA210,42211,12242,435,148
VA.PA211,10949,72630,35,56
VA.PA212,703,46164,31,56
VA.PA213,1776,14619,26,56
VA.PA214A,268,78,101965,29867
VA.PA214,15,12,125,56
VA.PA215,746,10,36,56
VA.PA216,797,656,417,56
VA.PA217,1596,2345,18410,580
VA.PA218,902,642,417,59212
VA.PA221A,706,75,165,56
VA.PA221,2550,8253,195,56
VA.PA222,29837,33852,405,57
VA.PA223,751,11,1402,56
VA.PA224,793,641,412,56
VA.PA225,793,641,416,56
